,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
CLC.rescaled,34.0,35.5,74.5,72.0,41.5,1142.0,460.0,1251.0,368.0,320.0,3798.5,0.9753483989353788
GLUL.rescaled,397.5,266.0,325.0,322.0,264.0,259.0,270.0,1373.0,212.0,425.0,4113.5,0.9732654444462812
HMGB2.rescaled,320.0,266.0,325.0,403.0,220.5,530.0,161.0,811.0,383.0,713.0,4132.5,0.973139805921542
NEFH.rescaled,85.5,55.0,27.0,84.5,49.0,835.0,1174.0,616.0,883.0,342.0,4151.0,0.9730174736737696
CYB561D1.rescaled,261.5,546.0,407.5,403.0,537.0,511.0,409.0,779.0,155.0,225.0,4234.0,0.9724686316972772
SLURP1.rescaled,261.5,266.0,407.5,322.0,537.0,625.0,326.0,368.0,1036.0,110.0,4259.0,0.9723033178489362
NBEA.rescaled,186.5,398.5,407.5,403.0,537.0,228.0,415.0,337.0,556.0,798.0,4266.5,0.972253723694434
ACOT6.rescaled,220.5,136.0,260.5,230.0,165.0,262.0,503.0,597.0,834.0,1190.0,4398.0,0.9713841728521598
TPX2.rescaled,158.5,161.5,115.5,161.5,114.0,513.0,852.0,1144.0,591.0,620.0,4431.0,0.9711659585723496
C19orf81.rescaled,69.0,161.5,135.5,272.5,114.0,476.0,2485.0,56.0,65.0,646.0,4480.5,0.9708386371526344
CCR8.rescaled,158.5,219.5,260.5,192.5,324.0,455.0,269.0,916.0,1467.0,241.0,4503.0,0.9706898546891272
HABP2.rescaled,546.5,546.0,550.0,550.5,264.0,279.0,275.0,377.0,479.0,656.0,4523.0,0.9705576036104544
PRC1.rescaled,158.5,161.5,193.0,57.5,84.5,1874.0,658.0,341.0,825.0,244.0,4597.0,0.9700682746193648
CASP14.rescaled,220.5,319.0,260.5,192.5,324.0,284.0,215.0,1255.0,1398.0,368.0,4836.5,0.9684845679522572
FOXQ1.rescaled,261.5,398.5,260.5,322.0,220.5,1147.0,492.0,577.0,519.0,697.0,4895.0,0.9680977335471392
SOX11.rescaled,186.5,398.5,162.5,230.0,139.0,163.0,1130.0,141.0,1831.0,562.0,4943.5,0.9677770246813576
PLXNB3.rescaled,397.5,546.0,550.0,550.5,644.5,973.0,461.0,258.0,254.0,337.0,4971.5,0.9675918731712156
HMMR.rescaled,85.5,96.5,162.5,133.0,139.0,276.0,720.0,76.0,1765.0,1536.0,4989.5,0.96747284720041
BUB1.rescaled,45.0,81.5,60.0,57.5,41.5,328.0,2070.0,207.0,1865.0,370.0,5125.5,0.9665735398654344
PRG4.rescaled,158.5,219.5,220.5,230.0,264.0,717.0,468.0,1161.0,432.0,1465.0,5335.5,0.9651849035393696
A2ML1.rescaled,320.0,398.5,325.0,550.5,537.0,639.0,1357.0,603.0,382.0,364.0,5476.0,0.9642558397116926
RAD51.rescaled,69.0,136.0,162.5,92.5,84.5,1155.0,1753.0,323.0,1251.0,571.0,5597.5,0.9634524144087552
MMP25.rescaled,186.5,68.5,135.5,133.0,114.0,857.0,653.0,1809.0,640.0,1121.0,5717.5,0.9626589079367178
IST1.rescaled,220.5,398.5,220.5,230.0,264.0,945.0,810.0,820.0,1656.0,378.0,5942.5,0.961171083301648
POC1A.rescaled,186.5,319.0,193.0,161.5,191.5,495.0,1017.0,876.0,958.0,1640.0,6037.5,0.960542890677952
MMP1.rescaled,397.5,398.5,260.5,322.0,537.0,1756.0,1281.0,184.0,684.0,269.0,6089.5,0.9601990378734028
PP2D1.rescaled,261.5,219.5,193.0,161.5,220.5,1839.0,1919.0,310.0,280.0,788.0,6192.0,0.9595212510952044
SKA3.rescaled,546.5,266.0,325.0,403.0,324.0,961.0,1769.0,1032.0,292.0,311.0,6229.5,0.9592732803226928
ASF1B.rescaled,220.5,398.5,220.5,272.5,537.0,1351.0,1581.0,342.0,733.0,586.0,6242.0,0.959190623398522
GLP1R.rescaled,546.5,398.5,325.0,550.5,537.0,365.0,258.0,408.0,2554.0,382.0,6324.5,0.9586450876989966
PRTN3.rescaled,220.5,96.5,325.0,192.5,165.0,1697.0,912.0,559.0,1280.0,960.0,6407.5,0.9580962457225042
CKAP2L.rescaled,99.5,219.5,162.5,109.5,139.0,3183.0,532.0,565.0,1051.0,481.0,6542.0,0.9572068572184292
PATE2.rescaled,261.5,136.0,550.0,192.5,220.5,4003.0,163.0,322.0,278.0,761.0,6887.5,0.9549222198343555
VSIG2.rescaled,158.5,161.5,193.0,133.0,114.0,1525.0,2408.0,270.0,107.0,1930.0,7000.0,0.9541783075168206
CD1C.rescaled,220.5,319.0,407.5,322.0,324.0,518.0,807.0,1569.0,1891.0,689.0,7067.0,0.9537352664032666
PTTG1.rescaled,25.5,9.5,35.5,9.5,15.0,4926.0,140.0,474.0,971.0,683.0,7289.0,0.952267279429998
MND1.rescaled,397.5,546.0,325.0,550.5,324.0,2178.0,376.0,759.0,485.0,1436.0,7377.0,0.9516853746838372
SLC5A1.rescaled,186.5,546.0,162.5,192.5,537.0,1490.0,387.0,2338.0,1370.0,248.0,7457.5,0.951153064092179
BRSK2.rescaled,186.5,266.0,162.5,161.5,264.0,293.0,165.0,921.0,5387.0,128.0,7934.5,0.9479988758658312
KPNA2.rescaled,320.0,398.5,550.0,403.0,324.0,2378.0,537.0,1040.0,1518.0,576.0,8044.5,0.9472714949331306
TUBB2B.rescaled,441.0,398.5,220.5,230.0,220.5,2403.0,1465.0,401.0,2111.0,732.0,8622.5,0.9434494387594848
E2F8.rescaled,133.5,161.5,115.5,272.5,114.0,4194.0,674.0,1269.0,760.0,946.0,8640.0,0.943333719065646
MAP7D2.rescaled,397.5,546.0,407.5,403.0,324.0,1359.0,1428.0,1275.0,1025.0,1615.0,8780.0,0.942407961514936
CAPN8.rescaled,186.5,398.5,260.5,322.0,264.0,1386.0,1815.0,2543.0,389.0,1269.0,8833.5,0.9420541898794862
ARHGAP11A.rescaled,6.5,21.5,11.5,5.0,41.5,205.0,4505.0,1350.0,2278.0,454.0,8878.0,0.9417599312294392
LIN7A.rescaled,220.5,186.5,115.5,109.5,264.0,1121.0,426.0,1376.0,1169.0,4109.0,9097.0,0.9403117819179712
KIF4A.rescaled,3.5,12.5,11.5,9.5,7.5,463.0,7793.0,757.0,130.0,109.0,9296.5,0.9389925774082096
OPRD1.rescaled,7885.0,219.5,325.0,272.5,264.0,57.0,45.0,105.0,137.0,83.0,9393.0,0.9383544659536128
PRSS36.rescaled,546.5,319.0,7886.5,403.0,220.5,10.0,1.0,11.0,16.0,14.0,9427.5,0.9381263328429024
E2F1.rescaled,261.5,266.0,325.0,322.0,220.5,1381.0,1183.0,5114.0,232.0,335.0,9640.0,0.9367211651320032
NMUR1.rescaled,261.5,546.0,325.0,550.5,7883.5,16.0,25.0,17.0,19.0,28.0,9671.5,0.9365128696830932
REPS2.rescaled,7885.0,398.5,325.0,322.0,537.0,35.0,37.0,69.0,100.0,51.0,9759.5,0.9359309649369328
TRH.rescaled,397.5,319.0,325.0,550.5,7883.5,93.0,84.0,143.0,62.0,60.0,9917.5,0.9348861814154172
ZNF835.rescaled,320.0,398.5,550.0,7884.5,264.0,73.0,89.0,52.0,75.0,233.0,9939.0,0.934744011505844
CYP26A1.rescaled,186.5,266.0,325.0,322.0,391.0,3243.0,1626.0,1923.0,1299.0,391.0,9972.5,0.9345224909490668
RAB3B.rescaled,7885.0,319.0,407.5,403.0,391.0,308.0,88.0,83.0,169.0,194.0,10247.5,0.932704038617315
CDCA8.rescaled,186.5,266.0,220.5,84.5,264.0,243.0,4064.0,2932.0,671.0,1320.0,10251.5,0.9326775884015804
CDC25B.rescaled,320.0,7884.0,325.0,403.0,391.0,302.0,370.0,355.0,124.0,235.0,10709.0,0.9296523449769388
CHTF18.rescaled,7885.0,546.0,550.0,403.0,264.0,630.0,195.0,134.0,143.0,170.0,10920.0,0.92825709609694
GATA5.rescaled,261.5,319.0,193.0,550.5,7883.5,103.0,267.0,222.0,893.0,281.0,10973.5,0.9279033244614902
BRCA1.rescaled,546.5,398.5,550.0,550.5,391.0,1404.0,4589.0,950.0,369.0,1240.0,10988.5,0.9278041361524856
XKRX.rescaled,261.5,219.5,407.5,230.0,165.0,1260.0,2376.0,2059.0,1872.0,2235.0,11085.5,0.927162718420922
E2F2.rescaled,397.5,7884.0,550.0,403.0,324.0,406.0,279.0,376.0,315.0,215.0,11149.5,0.926739514969169
FABP4.rescaled,546.5,7884.0,407.5,403.0,537.0,337.0,419.0,328.0,223.0,115.0,11200.0,0.92640558099552
SPAG6.rescaled,93.0,75.5,115.5,84.5,101.0,118.0,227.0,213.0,10412.0,302.0,11741.5,0.9228248830404524
ERCC6L.rescaled,1.0,7.0,4.0,13.5,1.0,68.0,10411.0,245.0,1019.0,48.0,11817.5,0.9223223289414956
HSPA4L.rescaled,54.5,136.0,98.0,161.5,114.0,8752.0,229.0,348.0,703.0,1417.0,12013.0,0.9210295746474684
PSCA.rescaled,546.5,546.0,407.5,403.0,7883.5,202.0,736.0,203.0,565.0,820.0,12312.5,0.919049114744342
HS3ST6.rescaled,546.5,546.0,550.0,550.5,7883.5,368.0,400.0,127.0,644.0,770.0,12385.5,0.9185663983071862
OAS3.rescaled,546.5,546.0,550.0,7884.5,537.0,426.0,766.0,173.0,574.0,383.0,12386.0,0.9185630920302194
SLC7A4.rescaled,12.0,8.0,2.0,5.0,4.0,1849.0,2779.0,1533.0,4991.0,1262.0,12445.0,0.9181729513481344
RAD54L.rescaled,220.5,96.5,98.0,322.0,165.0,2262.0,231.0,506.0,152.0,8417.0,12470.0,0.9180076374997934
HMHB1.rescaled,261.5,219.5,550.0,403.0,391.0,1299.0,6786.0,519.0,1326.0,972.0,12727.0,0.9163082111388472
GP2.rescaled,7885.0,319.0,550.0,550.5,537.0,142.0,272.0,959.0,786.0,1097.0,13097.5,0.9138582599064324
