	SHAP Value
CIDEC.rescaled	-0.0005426406135497327
CLEC3B.rescaled	-0.0005424752824533997
ORC6.rescaled	0.0005419447539435043
KIF23.rescaled	0.000541879870812677
FCER1A.rescaled	-0.0005417075602445662
EPB41L4A.rescaled	-0.0005416464940265646
HPX.rescaled	-0.0005410642474555997
PSMD2.rescaled	0.000540947473404683
F7.rescaled	-0.0005408664857608536
BNIPL.rescaled	-0.0005408632772758598
NEK11.rescaled	-0.0005407520842969414
SLAMF8.rescaled	0.0005401683324923788
CAPN11.rescaled	-0.0005399984682365974
DIRAS3.rescaled	-0.0005398702597707642
CHAD.rescaled	-0.0005396347002901662
ZNF280D.rescaled	-0.0005395836245561644
FAM81B.rescaled	-0.0005393686364480548
EPHX2.rescaled	-0.0005389778620385221
ANG.rescaled	-0.0005387704195493381
FAM83D.rescaled	0.0005385216688308568
LTA.rescaled	0.0005383932974809972
GLS2.rescaled	-0.0005383144176907789
ABLIM3.rescaled	-0.0005382717494598997
CSRNP3.rescaled	-0.0005376106665776059
NTRK2.rescaled	-0.0005375012579556045
ISG15.rescaled	0.0005374012291442692
CYB5D1.rescaled	-0.0005368056628175425
RGS22.rescaled	-0.0005365967008751676
FGF2.rescaled	-0.0005363958297572587
NUF2.rescaled	0.0005360493235013436
LCA5.rescaled	-0.0005357539398786416
OSM.rescaled	0.000535742990391653
APBA2.rescaled	0.0005353701084421783
SHCBP1.rescaled	0.0005351273266418523
CLDN11.rescaled	-0.0005351116822726459
SPEF1.rescaled	-0.0005347998464977851
SLC7A8.rescaled	-0.0005344950234939568
HJURP.rescaled	0.0005344574632779259
TRIM66.rescaled	-0.0005338830878998563
CGNL1.rescaled	-0.0005337473322290199
C17orf97.rescaled	-0.0005332732779752601
DNMBP.rescaled	-0.0005327569194402767
SKA3.rescaled	0.0005326943065370788
IL27.rescaled	0.0005326838379288147
CCL4L2.rescaled	0.0005324751500486924
CPEB3.rescaled	-0.000532272502914383
KPNA2.rescaled	0.0005321029012245085
HPDL.rescaled	0.0005320575161563246
FSIP1.rescaled	-0.0005318487807382161
ZNF425.rescaled	-0.0005314940782204483
LRP8.rescaled	0.0005314783677275443
GREB1.rescaled	-0.0005314603183095537
GDF10.rescaled	-0.0005314132225650225
NEIL3.rescaled	0.000531038259550602
DNALI1.rescaled	-0.0005305159818595257
GAPDH.rescaled	0.0005304650159838162
STIL.rescaled	0.0005300810456817782
LRRC31.rescaled	-0.000529965217264566
CD86.rescaled	0.0005294155930052838
PEAR1.rescaled	-0.0005293145966839745
FXYD1.rescaled	-0.0005287053631295733
NBPF4.rescaled	-0.0005284866687521474
FRY.rescaled	-0.0005282981375092778
KDM4B.rescaled	-0.0005279208889898496
DNAJC12.rescaled	-0.000527709145274943
CENPF.rescaled	0.0005276306494399166
FCGR1A.rescaled	0.0005268108267056114
NBEA.rescaled	-0.0005259943466195175
LUZP2.rescaled	-0.0005255869074276779
BLM.rescaled	0.0005250745992465467
CD38.rescaled	0.0005250005588816031
ZBTB16.rescaled	-0.0005248395239718827
SEMA3E.rescaled	-0.0005247934067631976
USP53.rescaled	-0.0005245692409884568
APOBEC3H.rescaled	0.0005240634667789376
FAM86B1.rescaled	-0.000523339903554807
ALG3.rescaled	0.0005233034756394222
FAM83E.rescaled	-0.0005225627086422771
MIR205HG.rescaled	-0.00052237577424844
KLHDC1.rescaled	-0.0005221670078628107
CDC45.rescaled	0.000522086018831291
LMNB1.rescaled	0.0005218013095987732
CYP20A1.rescaled	-0.0005217967845587237
AQP1.rescaled	-0.0005215918715960171
NPAS1.rescaled	-0.0005215914275264668
ALYREF.rescaled	0.0005215725508202497
UBE2S.rescaled	0.0005209634503306419
ZNF385B.rescaled	-0.0005203356588173712
EGF.rescaled	-0.0005197120525378235
ZNF396.rescaled	-0.0005196834685283131
THSD7B.rescaled	-0.0005196772682013574
SDR16C5.rescaled	-0.0005196677102817392
CCL8.rescaled	0.0005191094474120214
RASSF4.rescaled	0.0005190239445246521
NTN4.rescaled	-0.0005189072504341829
E2F2.rescaled	0.0005187853982495388
BCL2A1.rescaled	0.0005184082064327549
IRX4.rescaled	-0.0005182849337108573
BIRC5.rescaled	0.0005182756557569134
HMGCS2.rescaled	-0.0005182608719634965
MLXIPL.rescaled	-0.0005169960233810398
SLC11A1.rescaled	0.0005166334937612254
RHBDF2.rescaled	0.0005164236111578204
TCEAL7.rescaled	-0.0005163544008659847
PSAT1.rescaled	0.0005161413791059455
AKR7A3.rescaled	-0.0005153789273938841
DNAH2.rescaled	-0.000515194658107652
SALL2.rescaled	-0.0005151763361182391
SNX10.rescaled	0.0005147157105863087
PLA2G4F.rescaled	-0.0005147080498032698
MYOC.rescaled	-0.0005145944616525712
RIBC1.rescaled	-0.0005144122958042656
MYO1G.rescaled	0.0005142339031213044
GATA3.rescaled	-0.0005140555310887873
AKAP12.rescaled	-0.000513733423035962
PGM5.rescaled	-0.0005136715267741726
ALDH1L1.rescaled	-0.0005135363965567285
MTHFR.rescaled	-0.0005133754109471182
USHBP1.rescaled	-0.0005124156687007428
MAD2L1.rescaled	0.0005123052805342244
