	ALE Value
ARHGEF38.rescaled	8.521359e-09
ZNF706.rescaled	8.5208125e-09
ZNF99.rescaled	8.516567e-09
RPAP1.rescaled	8.506087e-09
MCOLN3.rescaled	8.4991445e-09
MESP1.rescaled	8.495913e-09
LCOR.rescaled	8.491369e-09
NR4A2.rescaled	8.483767e-09
DPYSL4.rescaled	8.482773e-09
GATA4.rescaled	8.476999e-09
PI16.rescaled	8.472958e-09
PTMS.rescaled	8.464601e-09
LGALS12.rescaled	8.4570635e-09
CHIT1.rescaled	8.454575e-09
ELP2.rescaled	8.453632e-09
LRP1B.rescaled	8.451811e-09
PRND.rescaled	8.441665e-09
ROPN1B.rescaled	8.430748e-09
KCNE4.rescaled	8.428776e-09
ABHD1.rescaled	8.414611e-09
EPHX4.rescaled	8.404207e-09
IFI44.rescaled	8.391686e-09
GJB1.rescaled	8.386106e-09
THPO.rescaled	8.38076e-09
LRG1.rescaled	8.372711e-09
AKR1C2.rescaled	8.36874e-09
RET.rescaled	8.355314e-09
FAIM2.rescaled	8.3449585e-09
ANXA8.rescaled	8.344613e-09
CASP12.rescaled	8.34229e-09
IL17RE.rescaled	8.338777e-09
TOX3.rescaled	8.328048e-09
PTCHD1.rescaled	8.325369e-09
SLC34A2.rescaled	8.325142e-09
FAM184B.rescaled	8.3215195e-09
CHST1.rescaled	8.321375e-09
RAI2.rescaled	8.3201135e-09
DNAJC22.rescaled	8.311667e-09
HOXB1.rescaled	8.2908365e-09
LRRC14.rescaled	8.278401e-09
SLC39A6.rescaled	8.274966e-09
ACBD6.rescaled	8.273355e-09
SLC27A2.rescaled	8.267838e-09
RBBP8.rescaled	8.267685e-09
STOML1.rescaled	8.26662e-09
DYDC2.rescaled	8.265603e-09
ERMN.rescaled	8.26424e-09
SERHL2.rescaled	8.2635e-09
MTHFR.rescaled	8.262445e-09
COMMD5.rescaled	8.262382e-09
MAOB.rescaled	8.2584295e-09
NR6A1.rescaled	8.257849e-09
NME6.rescaled	8.25784e-09
CAPSL.rescaled	8.256768e-09
NIPAL1.rescaled	8.2546086e-09
PGAP3.rescaled	8.25277e-09
C2CD4B.rescaled	8.252563e-09
FCRL5.rescaled	8.252078e-09
TEKT2.rescaled	8.24228e-09
EPPK1.rescaled	8.240121e-09
HOXB6.rescaled	8.23349e-09
TCN1.rescaled	8.224647e-09
SMARCA1.rescaled	8.220488e-09
CYP4F22.rescaled	8.214688e-09
PNLIPRP2.rescaled	8.212387e-09
TSPAN3.rescaled	8.204165e-09
HS6ST3.rescaled	8.198802e-09
ESPN.rescaled	8.196749e-09
SPAG6.rescaled	8.193446e-09
GJB5.rescaled	8.187881e-09
RNF128.rescaled	8.185201e-09
SSTR2.rescaled	8.1779294e-09
TRIM58.rescaled	8.17052e-09
CLK4.rescaled	8.170249e-09
NAP1L2.rescaled	8.164977e-09
TMEM139.rescaled	8.159257e-09
ZC3H3.rescaled	8.147635e-09
CLDN14.rescaled	8.147545e-09
HEPACAM.rescaled	8.145651e-09
FFAR2.rescaled	8.133178e-09
LYPD6.rescaled	8.110709e-09
HNF4G.rescaled	8.08133e-09
GLB1L2.rescaled	8.080717e-09
FFAR3.rescaled	8.077907e-09
KCNIP2.rescaled	8.075485e-09
GRIK4.rescaled	8.072923e-09
LYZL2.rescaled	8.0676505e-09
SYT3.rescaled	8.0591915e-09
HOMER2.rescaled	8.056914e-09
KRT5.rescaled	8.054974e-09
CRYM.rescaled	8.054731e-09
BAG1.rescaled	8.053104e-09
SCN2A.rescaled	8.050273e-09
EFHC2.rescaled	8.042534e-09
PCDHA10.rescaled	8.036221e-09
CD1E.rescaled	8.034282e-09
RNF212.rescaled	8.030072e-09
CCDC154.rescaled	8.029064e-09
IQCA1.rescaled	8.024066e-09
AGR3.rescaled	8.017294e-09
CELSR3.rescaled	8.013213e-09
EIF4EBP1.rescaled	8.012266e-09
CA4.rescaled	7.992769e-09
TTLL7.rescaled	7.977358e-09
HMBOX1.rescaled	7.973386e-09
ABCC8.rescaled	7.966339e-09
STAC2.rescaled	7.964773e-09
PABPC1.rescaled	7.961572e-09
DSG3.rescaled	7.9561575e-09
DLX4.rescaled	7.940393e-09
SIGLEC8.rescaled	7.940228e-09
