	ALE Value
DNMBP.rescaled	6.1195395e-09
FANCI.rescaled	6.1192704e-09
DEAF1.rescaled	6.113651e-09
PDF.rescaled	6.0968186e-09
LEP.rescaled	6.0771783e-09
PDZD4.rescaled	6.068409e-09
NTN1.rescaled	6.059322e-09
CHIT1.rescaled	6.054157e-09
SAMD13.rescaled	6.053482e-09
RAD51AP1.rescaled	6.045432e-09
EXO1.rescaled	6.044471e-09
ACOT1.rescaled	6.037987e-09
CACNA1D.rescaled	6.0339844e-09
FAR2.rescaled	6.0291776e-09
CFP.rescaled	6.019779e-09
MCM2.rescaled	6.017307e-09
COL4A4.rescaled	6.0165326e-09
ARL2.rescaled	6.0031464e-09
KIF21A.rescaled	6.0001337e-09
PLIN4.rescaled	5.986972e-09
ENTPD5.rescaled	5.966467e-09
PPM1K.rescaled	5.9655596e-09
SLC39A7.rescaled	5.948143e-09
ATG4A.rescaled	5.9362417e-09
SKA3.rescaled	5.925194e-09
PHGDH.rescaled	5.923838e-09
RGS6.rescaled	5.92362e-09
GPD1.rescaled	5.916951e-09
NEK2.rescaled	5.9088787e-09
ATP7B.rescaled	5.9088046e-09
OSBPL6.rescaled	5.8975647e-09
CIDEA.rescaled	5.896545e-09
GLUL.rescaled	5.894796e-09
EN2.rescaled	5.8947474e-09
RNF165.rescaled	5.873575e-09
LGR4.rescaled	5.870754e-09
TSNAX.rescaled	5.852514e-09
ENDOV.rescaled	5.846376e-09
ECE1.rescaled	5.8443574e-09
KDM4A.rescaled	5.8435408e-09
KRT6B.rescaled	5.8405187e-09
ZNF410.rescaled	5.835359e-09
RBM41.rescaled	5.8246807e-09
IFI44L.rescaled	5.798097e-09
DTL.rescaled	5.7920317e-09
C15orf40.rescaled	5.791634e-09
TMEM126A.rescaled	5.7904948e-09
PRKG2.rescaled	5.7865446e-09
MAK.rescaled	5.7860454e-09
ATP13A4.rescaled	5.780932e-09
ARSH.rescaled	5.778009e-09
CTNND2.rescaled	5.7776286e-09
DLX2.rescaled	5.7712817e-09
PCOLCE2.rescaled	5.756715e-09
PRTN3.rescaled	5.7391585e-09
ZBTB16.rescaled	5.7280727e-09
TRADD.rescaled	5.7226783e-09
HLF.rescaled	5.7206893e-09
PER1.rescaled	5.7185647e-09
ADIPOQ.rescaled	5.7148166e-09
MTHFR.rescaled	5.710053e-09
HEATR1.rescaled	5.701905e-09
AQP7.rescaled	5.6871046e-09
CLIC6.rescaled	5.684426e-09
POC1A.rescaled	5.6843437e-09
UTP14A.rescaled	5.67218e-09
LMAN2L.rescaled	5.6632237e-09
RGS17.rescaled	5.644778e-09
GPR135.rescaled	5.6309704e-09
NFASC.rescaled	5.6230176e-09
OR10AD1.rescaled	5.609035e-09
OPRD1.rescaled	5.603674e-09
RGS1.rescaled	5.5902873e-09
FAIM2.rescaled	5.5873883e-09
DNA2.rescaled	5.5769007e-09
TOR1A.rescaled	5.5716787e-09
MCCD1.rescaled	5.551352e-09
DSN1.rescaled	5.5424163e-09
IFI6.rescaled	5.541381e-09
CACNB4.rescaled	5.533084e-09
MESP2.rescaled	5.532976e-09
NDP.rescaled	5.5180713e-09
LGALS8.rescaled	5.516562e-09
ZNF695.rescaled	5.5052563e-09
KLK13.rescaled	5.4945266e-09
MYT1.rescaled	5.4851683e-09
ZNF835.rescaled	5.484428e-09
NBEA.rescaled	5.4807145e-09
CDC25B.rescaled	5.476372e-09
ADAMTS12.rescaled	5.4715716e-09
SLC5A1.rescaled	5.464622e-09
HAUS5.rescaled	5.4591545e-09
C19orf25.rescaled	5.4575846e-09
CHST1.rescaled	5.4542224e-09
CDR2.rescaled	5.454171e-09
PEX10.rescaled	5.4526783e-09
IYD.rescaled	5.450376e-09
MMP25.rescaled	5.438251e-09
