	ALE Value
EGLN1.rescaled	1.2974235e-09
MDH1.rescaled	1.2972198e-09
YPEL3.rescaled	1.2964855e-09
ATP7B.rescaled	1.2959466e-09
LGR5.rescaled	1.2955543e-09
DNAJC1.rescaled	1.2945637e-09
ZDHHC5.rescaled	1.2940521e-09
DMXL1.rescaled	1.2906859e-09
ZBTB12.rescaled	1.2898428e-09
A2ML1.rescaled	1.2892502e-09
OGFRL1.rescaled	1.2885529e-09
CFP.rescaled	1.2882633e-09
AQP9.rescaled	1.2834376e-09
TMPRSS3.rescaled	1.2812672e-09
DROSHA.rescaled	1.2796282e-09
DNAH3.rescaled	1.278448e-09
CCDC134.rescaled	1.2776051e-09
ASB1.rescaled	1.2764232e-09
PLEKHM2.rescaled	1.2763897e-09
ASB6.rescaled	1.2756474e-09
FOXK1.rescaled	1.2755802e-09
CES2.rescaled	1.2754384e-09
NAP1L2.rescaled	1.2747162e-09
HSPD1.rescaled	1.2731027e-09
LAMA5.rescaled	1.2730659e-09
CLC.rescaled	1.2720829e-09
NMU.rescaled	1.2714684e-09
ETNK2.rescaled	1.2708692e-09
TKT.rescaled	1.2699823e-09
CLIC6.rescaled	1.2697383e-09
